Date,Time,Station,Temp,SpCond,Cond,Salinity,ODO%YSI,ODO%Local,ODO Conc,Measured Depth,Depth Offset,Measured BAR,Corrected Depth,Comments
12-May-2009,16:15:32,MiddleRd,17.91,1.080,0.934,0.54,93.0,92.3,8.79,2.214,0.0816,1021,2.217,YSI 6600 sonde redeployed for 2009 season
12-May-2009,16:30:32,MiddleRd,17.97,0.891,0.771,0.44,93.0,92.3,8.79,2.111,0.0816,1021,2.114,NA
12-May-2009,16:45:32,MiddleRd,18.02,0.750,0.650,0.37,93.5,92.8,8.83,2.002,0.0816,1022,1.994,NA
12-May-2009,17:00:32,MiddleRd,18.04,0.666,0.577,0.33,93.9,93.2,8.86,1.888,0.0816,1022,1.880,NA
12-May-2009,17:15:32,MiddleRd,18.08,0.570,0.495,0.28,94.5,93.7,8.92,1.775,0.0816,1022,1.767,NA
12-May-2009,17:30:32,MiddleRd,18.11,0.505,0.439,0.24,94.9,94.2,8.96,1.665,0.0816,1022,1.657,NA
12-May-2009,17:45:32,MiddleRd,18.11,0.468,0.407,0.23,95.2,94.5,8.98,1.561,0.0816,1022,1.553,NA
12-May-2009,18:00:32,MiddleRd,18.08,0.433,0.376,0.21,95.2,94.5,8.99,1.460,0.0816,1022,1.452,NA
12-May-2009,18:15:32,MiddleRd,18.07,0.389,0.337,0.19,95.6,94.8,9.02,1.361,0.0816,1022,1.353,NA
12-May-2009,18:30:32,MiddleRd,18.03,0.374,0.324,0.18,95.5,94.8,9.02,1.265,0.0816,1022,1.257,NA
12-May-2009,18:45:32,MiddleRd,17.96,0.351,0.304,0.17,95.4,94.7,9.03,1.171,0.0816,1022,1.163,NA
12-May-2009,19:00:32,MiddleRd,17.90,0.341,0.295,0.16,95.3,94.5,9.03,1.084,0.0816,1023,1.066,NA
12-May-2009,19:15:32,MiddleRd,17.82,0.334,0.288,0.16,95.3,94.5,9.04,0.999,0.0816,1023,0.981,NA
12-May-2009,19:30:32,MiddleRd,17.77,0.327,0.282,0.16,95.5,94.8,9.08,0.916,0.0816,1023,0.898,NA
12-May-2009,19:45:32,MiddleRd,17.72,0.323,0.278,0.15,95.6,94.9,9.10,0.839,0.0816,1023,0.821,NA
12-May-2009,20:00:32,MiddleRd,17.70,0.317,0.273,0.15,96.1,95.3,9.14,0.768,0.0816,1023,0.750,NA
12-May-2009,20:15:32,MiddleRd,17.73,0.312,0.269,0.15,96.6,95.9,9.19,0.706,0.0816,1023,0.688,NA
12-May-2009,20:30:32,MiddleRd,17.83,0.306,0.265,0.15,97.6,96.8,9.26,0.650,0.0816,1023,0.632,NA
12-May-2009,20:45:32,MiddleRd,17.88,0.305,0.264,0.15,97.8,97.1,9.28,0.615,0.0816,1024,0.587,NA
12-May-2009,21:00:32,MiddleRd,17.90,0.304,0.263,0.15,97.8,97.1,9.27,0.626,0.0816,1024,0.598,NA
12-May-2009,21:15:32,MiddleRd,17.89,0.304,0.263,0.15,97.6,96.9,9.26,0.704,0.0816,1024,0.676,NA
12-May-2009,21:30:32,MiddleRd,17.79,0.307,0.265,0.15,97.0,96.3,9.22,0.818,0.0816,1024,0.790,NA
12-May-2009,21:45:32,MiddleRd,17.70,0.312,0.268,0.15,96.1,95.4,9.15,0.936,0.0816,1024,0.908,NA
12-May-2009,22:00:32,MiddleRd,17.62,0.316,0.271,0.15,95.3,94.6,9.09,1.057,0.0816,1024,1.029,NA
12-May-2009,22:15:32,MiddleRd,17.54,0.321,0.275,0.15,94.5,93.8,9.03,1.176,0.0816,1024,1.148,NA
12-May-2009,22:30:32,MiddleRd,17.49,0.328,0.281,0.16,93.7,93.0,8.95,1.301,0.0816,1024,1.273,NA
12-May-2009,22:45:32,MiddleRd,17.46,0.333,0.285,0.16,93.0,92.3,8.90,1.428,0.0816,1024,1.400,NA
12-May-2009,23:00:32,MiddleRd,17.52,0.344,0.295,0.16,92.4,91.7,8.83,1.573,0.0816,1024,1.545,NA
