Date,Time,Station,Temp,SpCond,Cond,Salinity,ODO%YSI,ODO%Local,ODO Conc,Depth,Comments
31-Mar-2009,13:45,IBYC,5.33,42.43,26.48,26.8,106.0,105.2,11.24,2.555,Sonde reinstalled after Winter season
31-Mar-2009,14:00,IBYC,5.35,42.63,26.63,26.9,106.5,105.7,11.27,2.671,NA
31-Mar-2009,14:15,IBYC,5.32,42.79,26.70,27.0,106.8,106.0,11.30,2.757,NA
31-Mar-2009,14:30,IBYC,5.36,42.81,26.75,27.1,107.2,106.4,11.33,2.829,NA
31-Mar-2009,14:45,IBYC,5.25,42.88,26.71,27.1,106.8,106.0,11.31,2.859,NA
31-Mar-2009,15:00,IBYC,5.15,43.01,26.71,27.2,106.8,105.9,11.33,2.863,NA
31-Mar-2009,15:15,IBYC,5.03,43.20,26.72,27.3,106.9,106.1,11.37,2.834,NA
31-Mar-2009,15:30,IBYC,5.07,43.12,26.71,27.2,106.8,106.0,11.35,2.765,NA
31-Mar-2009,15:45,IBYC,5.15,43.02,26.71,27.2,106.6,105.8,11.31,2.685,NA
31-Mar-2009,16:00,IBYC,5.07,43.02,26.65,27.2,106.8,106.0,11.36,2.596,NA
31-Mar-2009,16:15,IBYC,5.14,42.96,26.67,27.1,106.8,106.0,11.34,2.482,NA
31-Mar-2009,16:30,IBYC,5.14,42.93,26.65,27.1,106.8,106.0,11.34,2.366,NA
31-Mar-2009,16:45,IBYC,5.24,43.00,26.77,27.2,107.3,106.5,11.37,2.230,NA
31-Mar-2009,17:00,IBYC,5.35,42.94,26.82,27.1,107.4,106.6,11.35,2.103,NA
31-Mar-2009,17:15,IBYC,5.39,42.84,26.80,27.1,107.5,106.7,11.35,1.960,NA
31-Mar-2009,17:30,IBYC,5.4,42.78,26.77,27.0,107.5,106.7,11.35,1.821,NA
31-Mar-2009,17:45,IBYC,5.42,42.71,26.74,27.0,107.4,106.6,11.34,1.675,NA
31-Mar-2009,18:00,IBYC,5.57,42.30,26.60,26.7,107.1,106.3,11.29,1.535,NA
31-Mar-2009,18:15,IBYC,5.67,41.99,26.49,26.5,106.5,105.7,11.21,1.394,NA
31-Mar-2009,18:30,IBYC,5.81,41.59,26.35,26.2,106.2,105.4,11.17,1.259,NA
31-Mar-2009,18:45,IBYC,5.9,41.29,26.23,26.0,105.8,105.0,11.12,1.126,NA
31-Mar-2009,19:00,IBYC,6.01,40.86,26.04,25.8,105.1,104.3,11.03,1.000,NA
31-Mar-2009,19:15,IBYC,6.09,40.53,25.89,25.5,104.4,103.6,10.95,0.880,NA
31-Mar-2009,19:30,IBYC,6.16,40.27,25.78,25.4,103.9,103.1,10.89,0.761,NA
31-Mar-2009,19:45,IBYC,6.24,39.93,25.62,25.1,103.3,102.5,10.83,0.665,NA
31-Mar-2009,20:00,IBYC,6.3,39.59,25.45,24.9,102.7,101.9,10.77,0.572,NA
31-Mar-2009,20:15,IBYC,6.31,39.23,25.22,24.7,101.8,101.1,10.69,0.510,NA
31-Mar-2009,20:30,IBYC,6.35,38.69,24.91,24.3,101.1,100.3,10.62,0.470,NA
31-Mar-2009,20:45,IBYC,6.39,38.13,24.58,23.9,100.5,99.7,10.58,0.445,NA
31-Mar-2009,21:00,IBYC,6.44,37.51,24.21,23.5,100.0,99.3,10.55,0.466,NA
31-Mar-2009,21:15,IBYC,6.37,37.26,24.00,23.3,98.6,97.8,10.42,0.497,NA
31-Mar-2009,21:30,IBYC,6.3,37.74,24.26,23.6,98.6,97.9,10.42,0.561,NA
31-Mar-2009,21:45,IBYC,6.27,37.53,24.10,23.5,99.1,98.4,10.50,0.624,NA
31-Mar-2009,22:00,IBYC,6.15,37.98,24.31,23.8,99.7,98.9,10.57,0.720,NA
31-Mar-2009,22:15,IBYC,5.91,38.95,24.75,24.4,100.1,99.3,10.62,0.829,NA
31-Mar-2009,22:30,IBYC,5.83,39.51,25.04,24.8,99.8,99.1,10.59,0.949,NA
31-Mar-2009,22:45,IBYC,6.02,38.92,24.81,24.4,100.1,99.4,10.60,1.078,NA
31-Mar-2009,23:00,IBYC,6,39.10,24.91,24.5,100.6,99.9,10.65,1.210,NA
31-Mar-2009,23:15,IBYC,5.97,39.17,24.93,24.6,100.8,100.1,10.68,1.349,NA
31-Mar-2009,23:30,IBYC,5.92,39.45,25.07,24.8,101.2,100.4,10.71,1.486,NA
31-Mar-2009,23:45,IBYC,5.89,39.70,25.21,24.9,101.6,100.8,10.75,1.630,NA
01-Apr-2009,0:00,IBYC,5.81,39.90,25.28,25.1,102.3,101.5,10.84,1.782,NA
01-Apr-2009,0:15,IBYC,5.27,41.92,26.13,26.4,103.0,102.2,10.95,1.930,NA
01-Apr-2009,0:30,IBYC,4.87,43.34,26.67,27.4,103.5,102.7,11.05,2.102,NA
01-Apr-2009,0:45,IBYC,4.55,44.26,26.98,28.0,104.1,103.3,11.15,2.257,NA
01-Apr-2009,1:00,IBYC,4.23,45.47,27.43,28.8,105.0,104.2,11.27,2.410,NA
01-Apr-2009,1:15,IBYC,4.06,45.92,27.56,29.1,105.6,104.8,11.36,2.569,NA
01-Apr-2009,1:30,IBYC,3.99,46.27,27.70,29.3,106.1,105.2,11.42,2.708,NA
01-Apr-2009,1:45,IBYC,3.91,46.66,27.86,29.6,106.4,105.6,11.45,2.833,NA
01-Apr-2009,2:00,IBYC,3.85,46.86,27.94,29.7,106.6,105.8,11.48,2.950,NA
01-Apr-2009,2:15,IBYC,3.79,47.15,28.05,29.9,106.9,106.1,11.51,3.028,NA
01-Apr-2009,2:30,IBYC,3.75,47.31,28.11,30.0,106.9,106.1,11.52,3.088,NA
01-Apr-2009,2:45,IBYC,3.72,47.46,28.17,30.1,107.0,106.2,11.53,3.132,NA
01-Apr-2009,3:00,IBYC,3.7,47.48,28.17,30.1,107.0,106.1,11.53,3.147,NA
01-Apr-2009,3:15,IBYC,3.74,47.37,28.13,30.0,106.7,105.9,11.50,3.144,NA
01-Apr-2009,3:30,IBYC,3.7,47.51,28.18,30.1,107.1,106.3,11.55,3.111,NA
01-Apr-2009,3:45,IBYC,3.67,47.70,28.27,30.2,107.5,106.7,11.59,3.056,NA
01-Apr-2009,4:00,IBYC,3.66,48.14,28.52,30.6,107.6,106.8,11.57,2.982,NA
01-Apr-2009,4:15,IBYC,3.68,48.03,28.47,30.5,107.5,106.7,11.56,2.881,NA
01-Apr-2009,4:30,IBYC,3.69,48.04,28.48,30.5,107.5,106.7,11.56,2.766,NA
01-Apr-2009,4:45,IBYC,3.72,47.99,28.49,30.5,107.3,106.5,11.54,2.642,NA
01-Apr-2009,5:00,IBYC,3.75,47.87,28.45,30.4,107.0,106.2,11.50,2.500,NA
01-Apr-2009,5:15,IBYC,3.77,47.79,28.41,30.3,106.8,106.0,11.48,2.351,NA
01-Apr-2009,5:30,IBYC,3.94,47.03,28.12,29.8,105.9,105.1,11.37,2.187,NA
01-Apr-2009,5:45,IBYC,4.11,46.25,27.79,29.3,104.7,103.9,11.24,2.026,NA
01-Apr-2009,6:00,IBYC,4.15,46.05,27.71,29.2,104.4,103.6,11.20,1.842,NA
01-Apr-2009,6:15,IBYC,4.19,45.92,27.67,29.1,104.0,103.2,11.15,1.670,NA
01-Apr-2009,6:30,IBYC,4.21,45.73,27.57,29.0,103.7,102.9,11.13,1.502,NA
01-Apr-2009,6:45,IBYC,4.32,45.16,27.32,28.6,102.8,102.0,11.03,1.347,NA
01-Apr-2009,7:00,IBYC,4.47,44.40,26.99,28.1,101.9,101.1,10.93,1.195,NA
01-Apr-2009,7:15,IBYC,4.67,43.36,26.52,27.4,100.7,99.9,10.80,1.039,NA
01-Apr-2009,7:30,IBYC,4.84,42.43,26.09,26.7,99.6,98.9,10.69,0.904,NA
01-Apr-2009,7:45,IBYC,4.93,41.76,25.75,26.3,98.9,98.2,10.62,0.766,NA
01-Apr-2009,8:00,IBYC,5,41.27,25.50,25.9,98.4,97.7,10.57,0.632,NA
01-Apr-2009,8:15,IBYC,5.05,40.94,25.34,25.7,98.1,97.4,10.54,0.501,NA
01-Apr-2009,8:30,IBYC,5.13,40.49,25.12,25.4,97.9,97.1,10.52,0.390,NA
01-Apr-2009,8:45,IBYC,5.22,40.02,24.90,25.1,97.9,97.1,10.51,0.280,NA
01-Apr-2009,9:00,IBYC,5.31,39.56,24.68,24.8,97.8,97.1,10.51,0.203,NA
01-Apr-2009,9:15,IBYC,5.38,39.12,24.46,24.5,97.9,97.1,10.51,0.125,NA
01-Apr-2009,9:30,IBYC,5.46,38.58,24.18,24.1,97.8,97.0,10.51,0.084,NA
01-Apr-2009,9:45,IBYC,5.54,37.90,23.81,23.7,97.3,96.6,10.47,0.065,NA
01-Apr-2009,10:00,IBYC,5.66,36.94,23.30,23.0,96.7,96.0,10.42,0.088,NA
01-Apr-2009,10:15,IBYC,5.7,37.42,23.63,23.4,99.5,98.8,10.69,0.136,NA
01-Apr-2009,10:30,IBYC,5.76,37.53,23.74,23.4,98.8,98.1,10.60,0.222,NA
01-Apr-2009,10:45,IBYC,5.79,37.93,24.02,23.7,100.6,99.9,10.76,0.305,NA
01-Apr-2009,11:00,IBYC,5.69,38.28,24.16,24.0,98.9,98.2,10.59,0.403,NA
01-Apr-2009,11:15,IBYC,5.71,37.80,23.87,23.6,98.1,97.4,10.52,0.525,NA
01-Apr-2009,11:30,IBYC,5.72,37.85,23.91,23.7,98.5,97.8,10.56,0.653,NA
01-Apr-2009,11:45,IBYC,5.78,39.21,24.82,24.6,102.1,101.3,10.85,0.775,NA
01-Apr-2009,12:00,IBYC,5.9,39.21,24.91,24.6,103.5,102.7,10.97,0.915,NA
